model_projection_date,scenario_name,scenario_id,target,target_end_date,location,type,quantile,value
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0,396.8421877337896
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.01,407.21107152226483
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.025,437.9914807691666
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.05,472.2128680232854
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.1,503.7687174404784
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.15,538.0331747159258
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.2,553.0767017008438
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.25,565.2890927863118
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.3,571.1517948251281
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.35,584.9881864484938
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.4,596.0880934285248
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.45,605.2654749462495
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.5,616.7789972818528
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.55,626.0840795779528
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.6,642.696435183514
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.65,649.5889272480875
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.7,663.9063393508015
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.75,677.1889396988367
2022-01-09,optSev_highIE,A-2022-01-09,1 wk ahead inc death,2022-01-15,06,quantile,0.8,701.1818020852661
