"fips","tot_pop","age_group"
"01",4149045,"0-64"
"02",609815,"0-64"
"04",5958632,"0-64"
"05",2499522,"0-64"
"06",32730804,"0-64"
"08",4889710,"0-64"
"09",2957771,"0-64"
"10",803028,"0-64"
"11",581316,"0-64"
"12",17389656,"0-64"
"13",9210427,"0-64"
"15",1104612,"0-64"
"16",1605069,"0-64"
"17",10399799,"0-64"
"18",5676263,"0-64"
"19",2614194,"0-64"
"20",2412434,"0-64"
"21",3701372,"0-64"
"22",3795013,"0-64"
"23",1072319,"0-64"
"24",5088921,"0-64"
"25",5718124,"0-64"
"26",8151740,"0-64"
"27",4719016,"0-64"
"28",2419765,"0-64"
"29",5050182,"0-64"
"30",894437,"0-64"
"31",1628449,"0-64"
"32",2628535,"0-64"
"33",1113186,"0-64"
"34",7642370,"0-64"
"35",1696676,"0-64"
"36",16093614,"0-64"
"37",8734683,"0-64"
"38",642133,"0-64"
"39",9587105,"0-64"
"40",3340371,"0-64"
"41",3422987,"0-64"
"42",10427350,"0-64"
"44",883980,"0-64"
"45",4238030,"0-64"
"46",742641,"0-64"
"47",5809618,"0-64"
"48",25887546,"0-64"
"49",2971038,"0-64"
"50",507459,"0-64"
"51",7118878,"0-64"
"53",6427274,"0-64"
"54",1398878,"0-64"
"55",4788903,"0-64"
"56",470524,"0-64"
"US",274405214,"0-64"
"01",914733,"65-130"
"02",101611,"65-130"
"04",1382386,"65-130"
"05",542356,"65-130"
"06",6155747,"65-130"
"08",914038,"65-130"
"09",663318,"65-130"
"10",211844,"65-130"
"11",87260,"65-130"
"12",4794196,"65-130"
"13",1645027,"65-130"
"15",294365,"65-130"
"16",330452,"65-130"
"17",2163297,"65-130"
"18",1155678,"65-130"
"19",586030,"65-130"
"20",504017,"65-130"
"21",793007,"65-130"
"22",780061,"65-130"
"23",312224,"65-130"
"24",1044209,"65-130"
"25",1260538,"65-130"
"26",1880335,"65-130"
"27",997532,"65-130"
"28",507540,"65-130"
"29",1114355,"65-130"
"30",225126,"65-130"
"31",333056,"65-130"
"32",537004,"65-130"
"33",281506,"65-130"
"34",1611767,"65-130"
"35",403403,"65-130"
"36",3563576,"65-130"
"37",1861879,"65-130"
"38",129928,"65-130"
"39",2162198,"65-130"
"40",660895,"65-130"
"41",815678,"65-130"
"42",2541926,"65-130"
"44",206410,"65-130"
"45",1008009,"65-130"
"46",163817,"65-130"
"47",1220989,"65-130"
"48",4027053,"65-130"
"49",405200,"65-130"
"50",139451,"65-130"
"51",1464988,"65-130"
"53",1308560,"65-130"
"54",376099,"65-130"
"55",1102119,"65-130"
"56",108059,"65-130"
"US",57794852,"65-130"
"01",5063778,"0-130"
"02",711426,"0-130"
"04",7341018,"0-130"
"05",3041878,"0-130"
"06",38886551,"0-130"
"08",5803748,"0-130"
"09",3621089,"0-130"
"10",1014872,"0-130"
"11",668576,"0-130"
"12",22183852,"0-130"
"13",10855454,"0-130"
"15",1398977,"0-130"
"16",1935521,"0-130"
"17",12563096,"0-130"
"18",6831941,"0-130"
"19",3200224,"0-130"
"20",2916451,"0-130"
"21",4494379,"0-130"
"22",4575074,"0-130"
"23",1384543,"0-130"
"24",6133130,"0-130"
"25",6978662,"0-130"
"26",10032075,"0-130"
"27",5716548,"0-130"
"28",2927305,"0-130"
"29",6164537,"0-130"
"30",1119563,"0-130"
"31",1961505,"0-130"
"32",3165539,"0-130"
"33",1394692,"0-130"
"34",9254137,"0-130"
"35",2100079,"0-130"
"36",19657190,"0-130"
"37",10596562,"0-130"
"38",772061,"0-130"
"39",11749303,"0-130"
"40",4001266,"0-130"
"41",4238665,"0-130"
"42",12969276,"0-130"
"44",1090390,"0-130"
"45",5246039,"0-130"
"46",906458,"0-130"
"47",7030607,"0-130"
"48",29914599,"0-130"
"49",3376238,"0-130"
"50",646910,"0-130"
"51",8583866,"0-130"
"53",7735834,"0-130"
"54",1774977,"0-130"
"55",5891022,"0-130"
"56",578583,"0-130"
"US",332200066,"0-130"
