scenario_id,scenario_name,model_projection_date,target,target_end_date,quantile,type,location,value,low_age,high_age,pop_size
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.01,quantile,US,40941326.86110491,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.025,quantile,US,40942513.16550957,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.05,quantile,US,40946087.92162211,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.1,quantile,US,40967701.272794686,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.15,quantile,US,40983754.96517336,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.2,quantile,US,40998017.997765824,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.25,quantile,US,41010846.220554926,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.3,quantile,US,41022727.986874,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.35,quantile,US,41033772.248525895,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.4,quantile,US,41044025.30567954,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.45,quantile,US,41054635.984901175,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.5,quantile,US,41064726.827016175,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,,point,US,41064726.827016175,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.55,quantile,US,41074891.48800959,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.6,quantile,US,41085764.03369062,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.65,quantile,US,41097453.8101103,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.7,quantile,US,41109930.0465546,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.75,quantile,US,41122823.74309755,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.8,quantile,US,41136630.61696853,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.85,quantile,US,41151950.277401686,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.9,quantile,US,41171181.76673398,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.95,quantile,US,41206381.91154627,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.975,quantile,US,41246595.34086327,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum case,2021-09-18,0.99,quantile,US,41251062.89963451,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.01,quantile,US,656788.5924339191,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.025,quantile,US,656788.7921112468,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.05,quantile,US,656789.5475042472,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.1,quantile,US,656792.7848655048,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.15,quantile,US,656794.25548412,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.2,quantile,US,656795.4569290509,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.25,quantile,US,656796.6269008011,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.3,quantile,US,656797.7313825272,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.35,quantile,US,656798.7976836212,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.4,quantile,US,656799.8390563898,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.45,quantile,US,656800.912436703,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.5,quantile,US,656801.9728040264,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,,point,US,656801.9728040264,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.55,quantile,US,656803.0517178697,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.6,quantile,US,656804.1668056601,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.65,quantile,US,656805.3621632054,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.7,quantile,US,656806.6345940888,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.75,quantile,US,656808.07434998,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.8,quantile,US,656809.6538845189,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.85,quantile,US,656811.7248062864,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.9,quantile,US,656812.7043072764,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.95,quantile,US,656816.0427315425,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.975,quantile,US,656820.57251113,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum death,2021-09-18,0.99,quantile,US,656821.0473519664,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum hosp,2021-09-18,0.01,quantile,US,2696.8392017787537,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum hosp,2021-09-18,0.025,quantile,US,2728.7122414920373,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum hosp,2021-09-18,0.05,quantile,US,2838.488919769372,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum hosp,2021-09-18,0.1,quantile,US,3310.743149096488,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum hosp,2021-09-18,0.15,quantile,US,3661.433259581074,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum hosp,2021-09-18,0.2,quantile,US,3955.1783988360153,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum hosp,2021-09-18,0.25,quantile,US,4240.228079943516,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum hosp,2021-09-18,0.3,quantile,US,4497.851811487646,0,11,48022781
A-2021-09-14,ChildVax_noVar,2021-09-13,1 wk ahead cum hosp,2021-09-18,0.35,quantile,US,4731.984953775404,0,11,48022781
