model_projection_date,scenario_name,scenario_id,target,target_end_date,location,type,quantile,value
2021-01-04,optimistic,A-2020-12-22,1 wk ahead inc death,2021-01-09,US,point,NA,17734.58191
2021-01-04,optimistic,A-2020-12-22,2 wk ahead inc death,2021-01-16,US,point,NA,19331.8475
2021-01-04,optimistic,A-2020-12-22,3 wk ahead inc death,2021-01-23,US,point,NA,19567.66831
2021-01-04,optimistic,A-2020-12-22,4 wk ahead inc death,2021-01-30,US,point,NA,16871.91321
2021-01-04,optimistic,A-2020-12-22,5 wk ahead inc death,2021-02-06,US,point,NA,17323.5864
2021-01-04,optimistic,A-2020-12-22,6 wk ahead inc death,2021-02-13,US,point,NA,14627.0773
2021-01-04,optimistic,A-2020-12-22,7 wk ahead inc death,2021-02-20,US,point,NA,14873.74951
2021-01-04,optimistic,A-2020-12-22,8 wk ahead inc death,2021-02-27,US,point,NA,12417.14678
2021-01-04,optimistic,A-2020-12-22,9 wk ahead inc death,2021-03-06,US,point,NA,11768.432
2021-01-04,optimistic,A-2020-12-22,10 wk ahead inc death,2021-03-13,US,point,NA,10203.4403
2021-01-04,optimistic,A-2020-12-22,11 wk ahead inc death,2021-03-20,US,point,NA,10919.59218
2021-01-04,optimistic,A-2020-12-22,12 wk ahead inc death,2021-03-27,US,point,NA,9385.205401
2021-01-04,optimistic,A-2020-12-22,13 wk ahead inc death,2021-04-03,US,point,NA,9004.508414
2021-01-04,optimistic,A-2020-12-22,14 wk ahead inc death,2021-04-10,US,point,NA,6806.633078
2021-01-04,optimistic,A-2020-12-22,15 wk ahead inc death,2021-04-17,US,point,NA,7821.180629
2021-01-04,optimistic,A-2020-12-22,16 wk ahead inc death,2021-04-24,US,point,NA,6794.713806
2021-01-04,optimistic,A-2020-12-22,17 wk ahead inc death,2021-05-01,US,point,NA,7420.0155
2021-01-04,optimistic,A-2020-12-22,18 wk ahead inc death,2021-05-08,US,point,NA,4812.88767
2021-01-04,optimistic,A-2020-12-22,19 wk ahead inc death,2021-05-15,US,point,NA,5364.586139
2021-01-04,optimistic,A-2020-12-22,20 wk ahead inc death,2021-05-22,US,point,NA,4517.453128
2021-01-04,optimistic,A-2020-12-22,21 wk ahead inc death,2021-05-29,US,point,NA,4982.250525
2021-01-04,optimistic,A-2020-12-22,22 wk ahead inc death,2021-06-05,US,point,NA,3853.812589
2021-01-04,optimistic,A-2020-12-22,23 wk ahead inc death,2021-06-12,US,point,NA,4079.907563
2021-01-04,optimistic,A-2020-12-22,24 wk ahead inc death,2021-06-19,US,point,NA,3350.295716
2021-01-04,optimistic,A-2020-12-22,25 wk ahead inc death,2021-06-26,US,point,NA,3596.618879
2021-01-04,optimistic,A-2020-12-22,26 wk ahead inc death,2021-07-03,US,point,NA,2975.101543
2021-01-04,optimistic,A-2020-12-22,1 wk ahead cum death,2021-01-09,US,point,NA,368024.5819
2021-01-04,optimistic,A-2020-12-22,2 wk ahead cum death,2021-01-16,US,point,NA,387356.4294
2021-01-04,optimistic,A-2020-12-22,3 wk ahead cum death,2021-01-23,US,point,NA,406924.0977
2021-01-04,optimistic,A-2020-12-22,4 wk ahead cum death,2021-01-30,US,point,NA,423796.0109
2021-01-04,optimistic,A-2020-12-22,5 wk ahead cum death,2021-02-06,US,point,NA,441119.5973
2021-01-04,optimistic,A-2020-12-22,6 wk ahead cum death,2021-02-13,US,point,NA,455746.6746
2021-01-04,optimistic,A-2020-12-22,7 wk ahead cum death,2021-02-20,US,point,NA,470620.4241
2021-01-04,optimistic,A-2020-12-22,8 wk ahead cum death,2021-02-27,US,point,NA,483037.5709
2021-01-04,optimistic,A-2020-12-22,9 wk ahead cum death,2021-03-06,US,point,NA,494806.0029
2021-01-04,optimistic,A-2020-12-22,10 wk ahead cum death,2021-03-13,US,point,NA,505009.4432
2021-01-04,optimistic,A-2020-12-22,11 wk ahead cum death,2021-03-20,US,point,NA,515929.0354
2021-01-04,optimistic,A-2020-12-22,12 wk ahead cum death,2021-03-27,US,point,NA,525314.2408
2021-01-04,optimistic,A-2020-12-22,13 wk ahead cum death,2021-04-03,US,point,NA,534318.7492
2021-01-04,optimistic,A-2020-12-22,14 wk ahead cum death,2021-04-10,US,point,NA,541125.3823
2021-01-04,optimistic,A-2020-12-22,15 wk ahead cum death,2021-04-17,US,point,NA,548946.5629
2021-01-04,optimistic,A-2020-12-22,16 wk ahead cum death,2021-04-24,US,point,NA,555741.2767
2021-01-04,optimistic,A-2020-12-22,17 wk ahead cum death,2021-05-01,US,point,NA,563161.2922
2021-01-04,optimistic,A-2020-12-22,18 wk ahead cum death,2021-05-08,US,point,NA,567974.1799
2021-01-04,optimistic,A-2020-12-22,19 wk ahead cum death,2021-05-15,US,point,NA,573338.766
2021-01-04,optimistic,A-2020-12-22,20 wk ahead cum death,2021-05-22,US,point,NA,577856.2192
2021-01-04,optimistic,A-2020-12-22,21 wk ahead cum death,2021-05-29,US,point,NA,582838.4697
2021-01-04,optimistic,A-2020-12-22,22 wk ahead cum death,2021-06-05,US,point,NA,586692.2823
2021-01-04,optimistic,A-2020-12-22,23 wk ahead cum death,2021-06-12,US,point,NA,590772.1898
2021-01-04,optimistic,A-2020-12-22,24 wk ahead cum death,2021-06-19,US,point,NA,594122.4856
2021-01-04,optimistic,A-2020-12-22,25 wk ahead cum death,2021-06-26,US,point,NA,597719.1044
2021-01-04,optimistic,A-2020-12-22,26 wk ahead cum death,2021-07-03,US,point,NA,600694.206
2021-01-04,optimistic,A-2020-12-22,1 wk ahead inc case,2021-01-09,US,point,NA,1334034.305
2021-01-04,optimistic,A-2020-12-22,2 wk ahead inc case,2021-01-16,US,point,NA,1205634.661
2021-01-04,optimistic,A-2020-12-22,3 wk ahead inc case,2021-01-23,US,point,NA,1168203.804
2021-01-04,optimistic,A-2020-12-22,4 wk ahead inc case,2021-01-30,US,point,NA,1040762.138
2021-01-04,optimistic,A-2020-12-22,5 wk ahead inc case,2021-02-06,US,point,NA,998303.4669
