"time_value","geo_value_fullname","fips","value"
2020-01-04,"Alabama","01",0
2020-01-04,"Arkansas","05",0
2020-01-04,"California","06",0
2020-01-04,"Connecticut","09",0
2020-01-04,"Delaware","10",0
2020-01-04,"Florida","12",0
2020-01-04,"Georgia","13",0
2020-01-04,"Hawaii","15",0
2020-01-04,"Iowa","19",0
2020-01-04,"Indiana","18",0
2020-01-04,"Kansas","20",0
2020-01-04,"Louisiana","22",0
2020-01-04,"Maine","23",0
2020-01-04,"Minnesota","27",0
2020-01-04,"Missouri","29",0
2020-01-04,"Montana","30",0
2020-01-04,"North Carolina","37",0
2020-01-04,"New Mexico","35",0
2020-01-04,"Nevada","32",792
2020-01-04,"Oklahoma","40",0
2020-01-04,"Pennsylvania","42",0
2020-01-04,"Puerto Rico",NA,0
2020-01-04,"South Dakota","46",0
2020-01-04,"Texas","48",0
2020-01-04,"Virginia","51",0
2020-01-04,"Virgin Islands",NA,0
2020-01-11,"Alabama","01",0
2020-01-11,"Arizona","04",0
2020-01-11,"Colorado","08",0
2020-01-11,"District of Columbia","11",0
2020-01-11,"Hawaii","15",0
2020-01-11,"Indiana","18",0
2020-01-11,"Maryland","24",0
2020-01-11,"Minnesota","27",0
2020-01-11,"Montana","30",0
2020-01-11,"North Carolina","37",0
2020-01-11,"Nebraska","31",0
2020-01-11,"New Hampshire","33",0
2020-01-11,"New Jersey","34",0
2020-01-11,"Ohio","39",0
2020-01-11,"Oregon","41",0
2020-01-11,"Puerto Rico",NA,0
2020-01-11,"Rhode Island","44",0
2020-01-11,"Tennessee","47",0
2020-01-11,"Texas","48",0
2020-01-11,"Vermont","50",0
2020-01-11,"Washington","53",0
2020-01-11,"West Virginia","54",0
2020-01-11,"Wyoming","56",0
2020-01-18,"Alaska","02",0
2020-01-18,"Alabama","01",0
2020-01-18,"Arkansas","05",0
2020-01-18,"American Samoa",NA,0
2020-01-18,"Hawaii","15",0
2020-01-18,"Idaho","16",0
2020-01-18,"Illinois","17",0
2020-01-18,"Indiana","18",0
2020-01-18,"Kentucky","21",0
2020-01-18,"Louisiana","22",0
2020-01-18,"Massachusetts","25",0
2020-01-18,"Michigan","26",0
2020-01-18,"Minnesota","27",0
2020-01-18,"Mississippi","28",0
2020-01-18,"Montana","30",0
2020-01-18,"North Carolina","37",0
2020-01-18,"North Dakota","38",0
2020-01-18,"Nevada","32",0
2020-01-18,"New York","36",0
2020-01-18,"South Carolina","45",0
2020-01-18,"Texas","48",0
2020-01-18,"Utah","49",0
2020-01-18,"Wisconsin","55",0
2020-01-25,"Alabama","01",0
2020-01-25,"California","06",0
2020-01-25,"Connecticut","09",0
2020-01-25,"Delaware","10",0
2020-01-25,"Florida","12",0
2020-01-25,"Georgia","13",0
2020-01-25,"Hawaii","15",0
2020-01-25,"Iowa","19",0
2020-01-25,"Indiana","18",0
2020-01-25,"Kansas","20",0
2020-01-25,"Maine","23",0
2020-01-25,"Minnesota","27",0
2020-01-25,"Missouri","29",0
2020-01-25,"Montana","30",0
2020-01-25,"North Carolina","37",0
2020-01-25,"New Mexico","35",0
2020-01-25,"Nevada","32",0
2020-01-25,"Oklahoma","40",0
2020-01-25,"Pennsylvania","42",0
2020-01-25,"South Dakota","46",0
2020-01-25,"Texas","48",0
2020-01-25,"Virginia","51",0
2020-01-25,"Virgin Islands",NA,0
2020-02-01,"Alabama","01",0
2020-02-01,"Arizona","04",0
2020-02-01,"Colorado","08",0
2020-02-01,"District of Columbia","11",0
2020-02-01,"Hawaii","15",0
2020-02-01,"Indiana","18",0
2020-02-01,"Kansas","20",0
