"location_name","Age","Population","Week_Ending_Sat","Boost.coverage.rd14.sc_C_D"
"Alabama","18-49 Years",1937824,2022-06-11,0
"Alabama","18-49 Years",1937824,2022-06-18,0
"Alabama","18-49 Years",1937824,2022-06-25,0
"Alabama","18-49 Years",1937824,2022-07-02,0
"Alabama","18-49 Years",1937824,2022-07-09,0
"Alabama","18-49 Years",1937824,2022-07-16,0
"Alabama","18-49 Years",1937824,2022-07-23,0
"Alabama","18-49 Years",1937824,2022-07-30,0
"Alabama","18-49 Years",1937824,2022-08-06,0
"Alabama","18-49 Years",1937824,2022-08-13,0
"Alabama","18-49 Years",1937824,2022-08-20,0
"Alabama","18-49 Years",1937824,2022-08-27,0
"Alabama","18-49 Years",1937824,2022-09-03,0
"Alabama","18-49 Years",1937824,2022-09-10,0
"Alabama","18-49 Years",1937824,2022-09-17,0
"Alabama","18-49 Years",1937824,2022-09-24,0
"Alabama","18-49 Years",1937824,2022-10-01,0
"Alabama","18-49 Years",1937824,2022-10-08,0.599925029101134
"Alabama","18-49 Years",1937824,2022-10-15,3.88657736486439
"Alabama","18-49 Years",1937824,2022-10-22,8.66558537088486
"Alabama","18-49 Years",1937824,2022-10-29,13.356746019827
"Alabama","18-49 Years",1937824,2022-11-05,16.4095803592238
"Alabama","18-49 Years",1937824,2022-11-12,18.3846195730394
"Alabama","18-49 Years",1937824,2022-11-19,20.0922263328571
"Alabama","18-49 Years",1937824,2022-11-26,21.4569522899193
"Alabama","18-49 Years",1937824,2022-12-03,22.4033490954683
"Alabama","18-49 Years",1937824,2022-12-10,22.9905457812225
"Alabama","18-49 Years",1937824,2022-12-17,23.440543318319
"Alabama","18-49 Years",1937824,2022-12-24,23.8019790717244
"Alabama","18-49 Years",1937824,2022-12-31,24.1201628879974
"Alabama","18-49 Years",1937824,2023-01-07,24.4299601820803
"Alabama","18-49 Years",1937824,2023-01-14,24.6903281657137
"Alabama","18-49 Years",1937824,2023-01-21,24.9234588102612
"Alabama","18-49 Years",1937824,2023-01-28,25.1698500951981
"Alabama","18-49 Years",1937824,2023-02-04,25.47
"Alabama","18-49 Years",1937824,2023-02-11,25.8930107029598
"Alabama","18-49 Years",1937824,2023-02-18,26.415
"Alabama","18-49 Years",1937824,2023-02-25,26.9369892970402
"Alabama","18-49 Years",1937824,2023-03-04,27.36
"Alabama","18-49 Years",1937824,2023-03-11,27.6752507882428
"Alabama","18-49 Years",1937824,2023-03-18,27.9493270261547
"Alabama","18-49 Years",1937824,2023-03-25,28.1963001471896
"Alabama","18-49 Years",1937824,2023-04-01,28.4302415848014
"Alabama","18-49 Years",1937824,2023-04-08,28.6741049357674
"Alabama","18-49 Years",1937824,2023-04-15,28.951668897904
"Alabama","18-49 Years",1937824,2023-04-22,29.209414198783
"Alabama","18-49 Years",1937824,2023-04-29,29.3865331304936
"Alabama","18-49 Years",1937824,2023-05-06,29.43
"Alabama","18-49 Years",1937824,2023-05-13,29.43
"Alabama","18-49 Years",1937824,2023-05-20,29.43
"Alabama","18-49 Years",1937824,2023-05-27,29.43
"Alabama","18-49 Years",1937824,2023-06-03,29.43
"Alabama","50-64 Years",965497,2022-06-11,0
"Alabama","50-64 Years",965497,2022-06-18,0
"Alabama","50-64 Years",965497,2022-06-25,0
"Alabama","50-64 Years",965497,2022-07-02,0
"Alabama","50-64 Years",965497,2022-07-09,0
"Alabama","50-64 Years",965497,2022-07-16,0
"Alabama","50-64 Years",965497,2022-07-23,0
"Alabama","50-64 Years",965497,2022-07-30,0
"Alabama","50-64 Years",965497,2022-08-06,0
"Alabama","50-64 Years",965497,2022-08-13,0
"Alabama","50-64 Years",965497,2022-08-20,0
"Alabama","50-64 Years",965497,2022-08-27,0
"Alabama","50-64 Years",965497,2022-09-03,0
"Alabama","50-64 Years",965497,2022-09-10,0
"Alabama","50-64 Years",965497,2022-09-17,0
"Alabama","50-64 Years",965497,2022-09-24,0
"Alabama","50-64 Years",965497,2022-10-01,0
"Alabama","50-64 Years",965497,2022-10-08,1.19037610234464
"Alabama","50-64 Years",965497,2022-10-15,7.6818901778981
"Alabama","50-64 Years",965497,2022-10-22,17.0342627314711
"Alabama","50-64 Years",965497,2022-10-29,26.0394214139027
"Alabama","50-64 Years",965497,2022-11-05,31.5496294586458
"Alabama","50-64 Years",965497,2022-11-12,34.7359645959439
"Alabama","50-64 Years",965497,2022-11-19,37.3789873461388
